Descriptions,Total length,First rotation,Second rotation,Translation x,Translation y,Translation z,Pixel translation,Collimator translation,Collimator length,Collimator plus guide length,Guide exit edge length (air),Guide exit edge length (lead),Guide translation,d,d + 2t,Ld,Ld + 2t,Repeat vector,Pixel size,Crystal thickness,Crystal back face x,Crystal back face y,Crystal back face z,Crystal centroid x,Crystal centroid y,Crystal centroid z
1,393.327411241834,194.25421527179265,-13.7691472530895,47.03187751623461,-185.13137093721838,-46.80802389286109,191.663705620917,140.62860253943452,89.07020616296496,92.07020616296496,4.061531793391518,10.061531793391518,-44.53510308148248,2.3,6.3,50,54,25,2,10,370.26274187443676,94.06375503246922,-93.61604778572217,365.5559412384803,92.86801132958965,-92.42599536234603
2,367.3525458491465,203.82696836245557,-14.821919032253746,71.73180253495718,-162.43066029973915,-46.987257157009815,178.67627292457325,130.82586717939378,82.70081149035896,85.70081149035896,4.197200247161915,10.197200247161916,-41.35040574517948,2.3,6.3,50,54,25,2,10,324.8613205994783,143.46360506991437,-93.97451431401963,320.43966455992984,141.51093580586596,-92.69543628154277
3,339.24359492378557,214.20866325954427,-16.16156770017561,91.59412411898766,-134.73283519835243,-47.21370267721492,164.62179746189278,120.2337596265987,75.77607567058816,78.77607567058816,4.370574368116815,10.370574368116815,-37.88803783529408,2.3,6.3,50,54,25,2,10,269.46567039670487,183.18824823797533,-94.42740535442984,265.49410432399475,180.48829677272911,-93.03567081960917
4,311.67367674994733,225.62677044979472,-17.738160850228653,106.09637848841916,-103.80018473117315,-47.47841947794917,150.83683837497367,109.86554721679866,68.94258231635,71.94258231635,4.5758068341572775,10.575806834157277,-34.471291158175,2.3,6.3,50,54,25,2,10,207.6003694623463,212.19275697683833,-94.95683895589833,204.2699571601726,208.78867166572817,-93.4335014712239
5,287.2030886980747,238.2838922870865,-19.44209566713249,115.19100282510489,-71.18815777778808,-47.79835352582735,138.60154434903734,100.68542125361544,62.83224619084378,65.83224619084379,4.797125433387168,10.79712543338717,-31.41612309542189,2.3,6.3,50,54,25,2,10,142.37631555557616,230.38200565020978,-95.5967070516547,139.8976459110228,226.37121999510836,-93.9324368746694
6,267.91637862399017,252.29800500153047,-21.04232298401979,119.10541462781259,-38.015956124359796,-48.0986878203128,128.95818931199508,93.4693740870843,57.97763044982157,60.97763044982157,5.006216152379557,11.006216152379558,-28.988815224910784,2.3,6.3,50,54,25,2,10,76.03191224871959,238.21082925562519,-96.1973756406256,74.61296368276747,233.7652102442182,-94.40208831749345
7,255.37159051334103,267.61151444724294,-22.2380959741664,118.08573866502545,-4.925486253886484,-48.32349552160394,122.68579525667052,88.78721966682306,54.797151179694914,57.797151179694914,5.163287536344395,11.163287536344395,-27.398575589847457,2.3,6.3,50,54,25,2,10,9.850972507772967,236.1714773300509,-96.64699104320788,9.658097245337338,231.54740233299844,-94.75470946934662
8,250.560260944721,-75.98750253124429,-22.735081474040427,112.10775678204826,27.97757779803491,-48.41711578588381,120.2801304723605,86.99424939623292,53.57176215225516,56.57176215225516,5.228781762938427,11.228781762938427,-26.78588107612758,2.3,6.3,50,54,25,2,10,-55.95515559606982,224.2155135640965,-96.83423157176762,-54.838554835336765,219.74123035736,-94.90187743055903
9,253.84034819094646,-59.43604794922392,-22.39380407664541,101.04458364628653,59.67182464913849,-48.35282878194727,121.92017409547323,88.21641505692136,54.40751807710373,57.40751807710373,5.18379263648176,11.18379263648176,-27.203759038551866,2.3,6.3,50,54,25,2,10,-119.34364929827699,202.08916729257305,-96.70565756389453,-116.99288729080246,198.10853204816038,-94.8008055919151
10,263.96928691932123,-43.80571918348534,-21.403948484880758,85.06061763473485,88.68267032217037,-48.16660068242733,126.98464345966062,91.99511369865006,56.97905952202112,59.97905952202112,5.05364320359415,11.053643203594149,-28.48952976101056,2.3,6.3,50,54,25,2,10,-177.36534064434073,170.1212352694697,-96.33320136485466,-174.00575774145267,166.89886729524653,-94.50849663330953
11,278.87814366327166,-29.27268383412689,-20.10106496804245,64.02799961536168,114.22412071582298,-47.92202275802266,134.43907183163583,97.5683095620833,60.741524539105065,63.741524539105065,4.8830764240859414,10.883076424085942,-30.370762269552532,2.3,6.3,50,54,25,2,10,-228.44824143164595,128.05599923072336,-95.84404551604533,-224.35239802077825,125.76008608477702,-94.12565976775646
12,295.97690366740034,-15.80723941078455,-18.793914488381077,38.16301130928739,134.8002102239324,-47.67672144271488,142.98845183370017,103.97408527653397,65.0287331143324,68.0287331143324,4.712779589664482,10.712779589664482,-32.5143665571662,2.3,6.3,50,54,25,2,10,-269.6004204478648,76.32602261857478,-95.35344288542976,-265.0460039189517,75.03663108712703,-93.74261714693596
13,312.4753774290668,-3.239493319287543,-17.68748236895621,8.41158278932647,148.61414415090175,-47.46890359101142,151.2376887145334,110.1666966086446,69.14198421177758,72.14198421177758,4.5692435253148815,10.569243525314882,-34.57099210588879,2.3,6.3,50,54,25,2,10,-297.2282883018035,16.82316557865294,-94.93780718202284,-292.4722609509881,16.5539737191684,-93.41868257189937
