hole_center_x (mm),hole_center_y (mm),hole_center_z (mm),wall_thickness (mm),hole_r (mm),body_l (mm),body_l_corrected (mm),body_inner_top (mm),body_inner_top_corrected (mm),body_outer_top (mm),body_inner_bottom (mm),body_outer_bottom (mm),guide_l (mm),guide_inner_top (mm),guide_outer_top (mm),guide_inner_bottom (mm),guide_outer_bottom (mm),box_inner_size_x (mm),box_inner_size_y (mm),box_inner_size_z (mm),box_outer_size_x (mm),box_outer_size_y (mm),box_outer_size_z (mm),z_axis_angle (deg),x_axis_angle (deg)
277.002,70.37124,-70.0363,2.0,294.25720507886905,89.07020616296496,87.07020616296496,50.0,48.92893477954397,52.92893477954397,2.3,6.3,3.0,2.3,6.3,4.061531793391518,8.061531793391518,51.2,51.2,10.0,55.2,55.2,16.0,14.254215271792646,-13.387902168467322
242.8831,107.2608,-70.2602,2.0,274.65173435878756,82.70081149035896,80.70081149035896,50.0,48.84644420918262,52.84644420918262,2.3,6.3,3.0,2.3,6.3,4.197200247161915,8.197200247161916,51.2,51.2,10.0,55.2,55.2,16.0,23.826968362455574,-14.349420936003504
201.3326,136.87,-70.5519,2.0,253.46751925319742,75.77607567058816,73.77607567058816,50.0,48.74102743965364,52.74102743965364,2.3,6.3,3.0,2.3,6.3,4.370574368116815,8.370574368116815,51.2,51.2,10.0,55.2,55.2,16.0,34.20866325954427,-15.554379385129275
155.0181,158.4473,-70.9056,2.0,232.73109443359735,68.94258231635,66.94258231635,50.0,48.616239821678754,52.616239821678754,2.3,6.3,3.0,2.3,6.3,4.5758068341572775,8.575806834157277,51.2,51.2,10.0,55.2,55.2,16.0,45.62677044979473,-16.944274638865846
106.2709,171.9591,-71.3542,2.0,214.37084250723092,62.83224619084378,60.83224619084378,50.0,48.48167134260589,52.48167134260589,2.3,6.3,3.0,2.3,6.3,4.797125433387167,8.797125433387167,51.2,51.2,10.0,55.2,55.2,16.0,58.2838922870865,-18.410229696117657
56.74056,177.7703,-71.7895,2.0,199.93874817416858,57.97763044982157,55.97763044982157,50.0,48.35453778880172,52.35453778880172,2.3,6.3,3.0,2.3,6.3,5.006216152379557,9.006216152379558,51.2,51.2,10.0,55.2,55.2,16.0,72.29800500153047,-19.75105454773056
7.351419,176.2461,-72.1241,2.0,190.57443933364613,54.797151179694914,52.797151179694914,50.0,48.259033582107996,52.259033582107996,2.3,6.3,3.0,2.3,6.3,5.163287536344395,9.163287536344395,51.2,51.2,10.0,55.2,55.2,16.0,87.61151444724293,-20.729464942936723
-41.7583,167.3279,-72.2656,2.0,186.98849879246583,53.57176215225516,51.57176215225516,50.0,48.21921108869136,52.21921108869136,2.3,6.3,3.0,2.3,6.3,5.228781762938427,9.228781762938427,51.2,51.2,10.0,55.2,55.2,16.0,104.01249746875573,-21.130062872288658
-89.0623,150.8126,-72.1683,2.0,189.43283011384273,54.40751807710373,52.40751807710373,50.0,48.246565853917396,52.246565853917396,2.3,6.3,3.0,2.3,6.3,5.18379263648176,9.18379263648176,51.2,51.2,10.0,55.2,55.2,16.0,120.5639520507761,-20.855359328396577
-132.361,126.955,-71.8898,2.0,196.9902273973001,56.97905952202112,54.97905952202112,50.0,48.32570069074008,52.32570069074008,2.3,6.3,3.0,2.3,6.3,5.05364320359415,9.053643203594149,51.2,51.2,10.0,55.2,55.2,16.0,136.19428081651466,-20.049096338679394
