events,duration,wall_time,overhead,pps
369016.0,13.1423,52,38.8577,28078.0
370822.0,9.90433,52,42.09567,37440.0
369920.0,10.3147,48,37.6853,35863.0
370202.0,9.87437,48,38.12563,37491.0
369982.0,10.0336,48,37.9664,36874.0
369404.0,9.75734,54,44.24266,37859.0
370044.0,10.0635,76,65.9365,36770.0
369276.0,10.0177,52,41.9823,36862.0
369470.0,9.86342,52,42.13658,37458.0
369764.0,9.8488,86,76.1512,37544.0
739920.0,19.7043,52,32.2957,37551.0
739937.0,19.8608,52,32.1392,37256.0
740541.0,19.9473,48,28.0527,37124.0
741500.0,19.6365,48,28.3635,37761.0
740726.0,20.8992,48,27.1008,35442.0
739618.0,20.7307,54,33.2693,35677.0
740927.0,21.4525,76,54.5475,34537.0
738585.0,19.5657,52,32.4343,37748.0
740298.0,19.5987,52,32.4013,37772.0
738068.0,19.4386,86,66.56139999999999,37969.0
1481057.0,39.6007,52,12.399299999999997,37399.0
1479124.0,38.8397,52,13.1603,38082.0
1481645.0,39.8484,48,8.151600000000002,37182.0
1482372.0,39.6965,48,8.3035,37342.0
1480481.0,38.7567,48,9.243299999999998,38199.0
1480760.0,40.968,54,13.031999999999996,36144.0
1479563.0,1.04868,76,74.95132,23514.0
1481242.0,39.3024,52,12.697600000000001,37688.0
1480475.0,39.1372,52,12.8628,37827.0
1480621.0,1.21556,86,84.78444,20300.0
